,BTC,ETH,USDT,TUSD
2018-08-10,-0.05957874580001388,-0.10080166882352692,0.003980104756626767,0.0
2018-08-11,0.009151534637490855,-0.03077468896519253,-0.003980104756626767,-0.009022617599637524
2018-08-12,0.010940733625478316,-0.003183185965021984,0.012877840176491791,0.007024614936964466
2018-08-13,-0.011143894758971484,-0.10399147425841271,-0.013875346493617106,-0.008032171697264267
2018-08-14,-0.007334168149457199,-0.03021774796653265,0.000997506317125313,0.017982502550432357
2018-08-15,0.009592074416154617,0.008645977923318782,0.0,-0.009950330853168092
2018-08-16,0.005997071289835176,0.0013426539675265303,-0.0019960086467149477,0.004987541511038968
2018-08-17,0.03875622024009928,0.08750908607431107,-0.002000000666666958,0.0
2018-08-18,-0.023330374228377693,-0.041054417688673794,0.0069825720111310035,0.0
2018-08-19,0.012648999211931411,0.00505974232792461,-0.001990050408010012,0.0039721998604328335
2018-08-23,0.025495642445626743,0.009546212170095103,-0.0010005003335835344,-0.007003530377337193
2018-08-24,0.02669460132889334,0.02167819057958198,-0.0020040086867151898,0.004008021397538822
2018-08-25,0.007502379066879783,-0.014388994393070398,0.0020040086867151898,0.0
2018-08-26,-0.008039856944749957,-0.01106838178926317,-0.004012041489960752,0.0
2018-08-27,0.031758141066472234,0.03868394073217374,0.004012041489960752,0.0009995003330834232
2018-08-28,0.023385634744361283,0.031068091990828606,0.0,-0.0030015030037565025
2018-08-29,-0.00441703016352335,-0.023361146383997777,-0.001001502337089545,0.0030015030037565025
2018-08-30,-0.007430228930120464,-0.02076332696114136,-0.001002506349625645,0.0
2018-08-31,0.004461165224505237,0.004068670524582707,-0.0010035123772400975,-0.005007521730622245
2018-09-01,0.018280277677956036,0.04190959133164185,0.0030075210639552872,-0.013138137437431693
2018-09-02,0.017876313012756384,-0.014511666837420556,-0.0030075210639552872,0.014141649814671791
2018-09-03,-0.0038949701351640442,-0.007205809592885082,0.0010035123772400975,0.0
2018-09-04,0.014890442971941198,-0.012380825366060222,0.0,0.0
2018-09-05,-0.09571246217844376,-0.2233108485575679,0.0,0.0
2018-09-06,-0.02569443153275408,0.002082650443226086,0.0020040086867151898,0.0
2018-09-07,-0.020196647755128083,-0.06458252112067786,-0.0020040086867151898,0.0040040093533821475
2018-09-08,-0.03224042464105992,-0.0859150537983231,0.001002506349625645,0.0029925209364540335
2018-09-09,0.010105295781301038,-0.009602622215277634,0.004000005333346137,-0.0059940239402105355
2018-09-10,0.009513843587912518,0.0042434652217222535,-0.005002511682971783,0.0020020026706730793
2018-09-11,-0.0036611382395879133,-0.06621873842739046,0.0,0.003992021269537457
2018-09-12,0.007774255066790303,-0.005560373779304406,0.0020040086867151898,0.0
2018-09-13,0.020966567569821848,0.14464581688171396,-0.001001502337089545,-0.003992021269537457
2018-09-14,0.0032115556961116454,-0.00995094821939091,0.0,-0.004008021397538822
2018-09-15,0.004690576586641626,0.06603419801834409,-0.0020060187268657425,0.0
2018-09-16,-0.009451319269583536,-0.011887964467170775,0.0020060187268657425,0.0
2018-09-17,-0.0337524048194755,-0.11826818878738266,-0.001002506349625645,0.007003530377337193
2018-09-18,0.01137790565243968,0.06562212206959117,-0.002008032803245562,-0.006000018000097095
2018-09-19,0.011462465716054027,-0.0015721163536293048,0.0,0.005002511682971783
2018-09-20,0.015598553918284352,0.07320645140207827,0.004012041489960752,0.0
2018-09-21,0.040775409164911736,0.10142511186834913,0.0,-0.010030174359937324
2018-09-22,-0.002523330189768913,-0.033459936523605016,-0.001001502337089545,0.010030174359937324
2018-09-23,-0.006415319542906417,0.01499852420000547,0.0,-0.006006024060211879
2018-09-24,-0.013962489929301825,-0.06591898763576953,-0.0020060187268657425,0.004008021397538822
2018-09-25,-0.026444289996634396,-0.04221781047946482,0.0030075210639552872,0.003992021269537457
2018-09-26,0.007494800880282426,-0.014199918138701584,-0.001001502337089545,-0.003992021269537457
2018-09-27,0.029446453064112532,0.059236308590282505,0.001001502337089545,0.003992021269537457
2018-09-28,-0.002972710997763528,-0.0301971010657498,0.0,-0.006996530289836181
